Dataset,Indicators,Description,Description Simplified,Geographic Coverage,Format,Spatial Resolution,Spatial Resolution (Standard),Temporal Resolution,Temporal Extent,Latency,Source/Link,Project,Strengths,Limitations,Data Visualization,Intended Use,Tab Name Indicator,Indicators                     (Select from drop-down list),sde_link
"Global Development Potential Indices, v1 (2016)","Climate Change,Human Dimensions","The Global Development Potential Indices (DPIs) data set contains thirteen sector-level DPIs for sectors related to renewable energy (concentrated solar power, photovoltaic solar, wind, hydropower), fossil fuels (coal, conventional and unconventional oil and gas), mining (metallic, non-metallic), and agriculture (crop, biofuels expansion). The DPI for each sector represents land suitability that accounts for both resource potential and development feasibility. Each DPI is a 1-km spatially-explicit, global land suitability map that has been validated using locations of current and planned development, and examined for uncertainty and sensitivity. The DPIs can be used to identify lands with current favorable economic and physical conditions for individual sector expansion and assist in planning for sector and cumulative development across the globe.","The Global Development Potential Indices, v1 (2016) dataset provides Development Potential Indices for sectors related to renewable energy, fossil fuels, mining, and agriculture. Each DPI shows how suitable land is for the potential land use sector. These data may aid in urban sprawl and human impacts research.",Global,"GeoTIFF, PDF, PNG, WMS",30 degrees,3500 kilometers,,2016-01-01 to 2016-12-31,,https://doi.org/10.7927/k9t6-gh59,LULC - Land Use and Land Cover,GeoTIFF format for GIS,Lacks recent data,,Path B,Climate Change,Human Dimensions,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC1739457324-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
"Global Estimated Net Migration Grids By Decade, v1 (1970 – 2000)","Food Availability,Human Dimensions","The Global Estimated Net Migration by Decade: 1970-2000 data set provides estimates of net migration over the three decades from 1970 to 2000. Because of the lack of globally consistent data on migration, indirect estimation methods were used. The authors relied on a combination of data on spatial population distribution for four time slices (1970, 1980, 1990, and 2000) and subnational rates of natural increase in order to derive estimates of net migration on a 30 arc-second (~1km) grid cell basis. Net migration was estimated by subtracting the population in time period 2 from the population in time period 1, and then subtracting the natural increase (births minus deaths). The residual was considered to be net migration (in-migrants minus out-migrants). The authors ran 13 geospatial net migration estimation models based on outputs from the same number of imputation runs for urban and rural rates of natural increase.This data set represents the average of those runs. These data are reliable at broad scales of analysis (e.g. ecosystems or regions), but are generally not reliable for local level analyses. The data were produced for the United Kingdom Foresight project on Migration and Global Environmental Change.","The Global Estimated Net Migration Grids By Decade provides estimates of overall net migration (in-migration minus out-migration) per decade for the 1970s, 1980s, and 1990s.",Global,"GeoTIFF, PDF, PNG, WMS",0.00833 degrees,1 kilometer,,1970-01-01 to 2000-12-31,,https://doi.org/10.7927/H4319SVC,POPDYNAMICS - Population Dynamics,30-year temporal extent,Lacks recent data,SEDAC map widget,Path B,Food Availability,Human Dimensions,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC1000000660-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
Global Flood Proportional Economic Loss Risk Deciles,"Disasters,Human Dimensions","The Global Flood Proportional Economic Loss Risk Deciles is a 2.5 minute grid of flood hazard economic loss as proportions of Gross Domestic Product (GDP) per analytical unit. Estimates of GDP at risk are based on regional economic loss rates derived from historical records of the Emergency Events Database (EM-DAT). Loss rates are weighted by the hazard's frequency and distribution. The methodology of Sachs et al. (2003) is followed to determine baseline estimates of GDP per grid cell. To better reflect the confidence surrounding the data and procedures, the range of proportionalities is classified into deciles, 10 class of an approximately equal number of grid cells of increasing risk. This data set is the result of collaboration among the Columbia University Center for Hazards and Risk Research (CHRR), International Bank for Reconstruction and Development/The World Bank, and Columbia University Center for International Earth Science Information Network (CIESIN).",The Global Flood Proportional Economic Loss Risk Deciles shows flood hazard economic loss as a proportion of Gross Domestic Product (GDP) of an area. The shown rates are calculated based on how often and to what extend the hazard of floods poses to area. These data can aid in storm preparation and recovery research.,Global,"ASCII, PDF, PNG, WMS",0.0417 degrees,5 kilometers,,2000-01-01 to 2000-12-31,,https://doi.org/10.7927/H4XS5S9Q,NDH - Natural Disaster Hotspots,Visualization available through SEDAC Map widget,Limited temporal extent,https://sedac.ciesin.columbia.edu/data/set/ndh-flood-proportional-economic-loss-risk-deciles/maps,Path B,Disasters,Human Dimensions,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC179001781-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
Global Flood Total Economic Loss Risk Deciles,"Disasters,Human Dimensions","The Global Flood Total Economic Loss Risk Deciles is a 2.5 minute grid of global flood total economic loss risks. A process of spatially allocating Gross Domestic Product (GDP) based upon the Sachs et al. (2003) methodology is utilized. First the proportional contributions of subnational units to their respective national GDP are determined using sources of various origins. The contribution rates are then applied to published World Bank Development Indicators to determine a GDP value for the subnational unit. Once the national GDP has been spatially stratified into the smallest administrative units available, GDP values for grid cells are derived using Gridded Population of the World, Version 3 (GPWv3) data of population distributions. A per capita contribution value is determined within each subnational unit, and this value is multiplied by the population per grid cell. Once a GDP value has been determined on a per grid cell basis, then the regionally variable loss rate as derived from the historical records of EM-DAT is used to determine the total economic loss risks posed to a grid cell by flood hazards. The final surface does not present absolute values of total economic loss, but rather a relative decile (1-10 with increasing risk) ranking of grid cells based upon the calculated economic loss risks. This data set is the result of collaboration among the Columbia University Center for Hazards and Risk Research (CHRR), International Bank for Reconstruction and Development/The World Bank, and Columbia University Center for International Earth Science Information Network (CIESIN).",The Global Flood Proportional Economic Loss Risk Deciles shows the total global flood economic loss using the Gross Domestic Product (GDP) of an area. The economic loss is assigned a decile or rank (1-10) based on how often and to what extend the hazard of floods poses to area. These data can aid in storm preparation and recovery research.,Global,"ASCII, DBF, PDF, PNG, WMS",0.0417 degrees,5 kilometers,,2000-01-01 to 2000-12-31,,https://doi.org/10.7927/H4T151KP,NDH - Natural Disaster Hotspots,Visualization available through SEDAC Map widget,Limited temporal extent,https://sedac.ciesin.columbia.edu/data/set/ndh-flood-total-economic-loss-risk-deciles/maps,Path B,Disasters,Human Dimensions,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC179001780-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
"Global Food Security-support Analysis Data (GFSAD) Cropland Extent 2015 Australia, New Zealand, China, Mongolia 30 m V001",Food Availability,"The NASA Making Earth System Data Records for Use in Research Environments (MEaSUREs) (https://earthdata.nasa.gov/community/community-data-system-programs/measures-projects) Global Food Security-support Analysis Data (GFSAD) data product provides cropland extent data over Australia, New Zealand, China, and Mongolia for nominal year 2015 at 30 meter resolution (GFSAD30AUNZCNMOCE). The monitoring of global cropland extent is critical for policymaking and provides important baseline data that are used in many agricultural cropland studies pertaining to water sustainability and food security.","The Global Food Security-support Analysis Data (GFSAD) Cropland Extent 2015 Australia, New Zealand, China, Mongolia 30 m V001 dataset provides cropland extent data over Australia, New Zealand, China, and Mongolia for the year 2015. These data may be useful in agricultural cropland studies related to water sustainability and food security.","Australia, New Zealand, China, Mongolia",GeoTIFF,30m,30 meters,,2013-01-01 to 2016-12-31,,https://doi.org/10.5067/MEaSUREs/GFSAD/GFSAD30AUNZCNMOCE.001,MEaSUREs - Making Earth System Data Records for Use in Research Environments,,Lacks recent data,,Path C,Food Availability,Food Availability,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC1431392676-LPDAAC_ECS&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
"Global Food Security-support Analysis Data (GFSAD) Cropland Extent 2015 Europe, Central Asia, Russia, Middle East product 30 m V001","Food Availability,Water Availability","The NASA Making Earth System Data Records for Use in Research Environments (MEaSUREs) Global Food Security-support Analysis Data (GFSAD) data product provides cropland extent data over Europe, Central Asia, Russia and the Middle East for nominal year 2015 at 30 meter resolution (GFSAD30EUCEARUMECE). The monitoring of global cropland extent is critical for policymaking and provides important baseline data that are used in many agricultural cropland studies pertaining to water sustainability and food security.","The Global Food Security-support Analysis Data (GFSAD) Cropland Extent 2015 Europe, Central Asia, Russia, Middle East product 30 m V001 dataset provides cropland extent data for Europe, Central Asia, Russia, and the Middle East for the year 2015. These data may be useful in agricultural cropland studies related to water sustainability and food security.","Europe, Asia",GeoTIFF,30m,30 meters,,2013-01-01 to 2016-12-31,,https://doi.org/10.5067/MEaSUREs/GFSAD/GFSAD30EUCEARUMECE.001,MEaSUREs - Making Earth System Data Records for Use in Research Environments,Includes all of Northern Hemisphere,Lacks recent data,,Path C,Water Availability,Food Availability,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC1431401246-LPDAAC_ECS&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
Global Food Security-support Analysis Data (GFSAD) Cropland Extent 2015 South America product 30 m V001,Food Availability,The NASA Making Earth System Data Records for Use in Research Environments (MEaSUREs) Global Food Security-support Analysis Data (GFSAD) data product provides cropland extent data over South America for nominal year 2015 at 30 meter resolution (GFSAD30SACE). The monitoring of global cropland extent is critical for policymaking and provides important baseline data that are used in many agricultural cropland studies pertaining to water sustainability and food security.,"The Global Food Security-support Analysis Data (GFSAD) Cropland Extent 2015 Europe, Central Asia, Russia, Middle East product 30 m V001 dataset provides cropland extent data for South America for the year 2015. These data may be useful in agricultural cropland studies related to water sustainability and food security.",South America,GeoTIFF,30m,30 meters,,2013-01-01 to 2016-12-31,,https://doi.org/10.5067/MEaSUREs/GFSAD/GFSAD30SACE.001,MEaSUREs - Making Earth System Data Records for Use in Research Environments,,"Lacks recent data, Limited to South America",,Path C,Food Availability,Food Availability,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC1431432916-LPDAAC_ECS&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
Global Food Security-support Analysis Data (GFSAD) Cropland Extent 2015 Southeast and Northeast Asia product 30 m V001,"Food Availability,Water Availability",The NASA Making Earth System Data Records for Use in Research Environments (MEaSUREs) Global Food Security-support Analysis Data (GFSAD) data product provides cropland extent data over Southeast and Northeast Asia for nominal year 2015 at 30 meter resolution (GFSAD30SEACE). The monitoring of global cropland extent is critical for policymaking and provides important baseline data that are used in many agricultural cropland studies pertaining to water sustainability and food security.,The Global Food Security-support Analysis Data (GFSAD) Cropland Extent 2015 Southeast and Northeast Asia product 30 m V001 dataset provides cropland extent data over Southeast and Northeast Asia for the year 2015. These data may be useful in agricultural cropland studies related to water sustainability and food security.,"Southeastern Asia, Eastern Asia",GeoTIFF,30m,30 meters,,2013-01-01 to 2016-12-31,,https://doi.org/10.5067/MEaSUREs/GFSAD/GFSAD30SEACE.001,MEaSUREs - Making Earth System Data Records for Use in Research Environments,,Lacks recent data,,Path C,Water Availability,Food Availability,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC1431439087-LPDAAC_ECS&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
"Global Gridded Geographically Based Economic Data (G-Econ), v4 (1990, 1995, 2000, 2005)",Human Dimensions,"The Global Gridded Geographically Based Economic Data (G-Econ), Version 4 contains derived one degree grid cells of Gross Domestic Product (GDP) data in Grid and ASCII formats for both Market Exchange Rate (MER) and Purchasing Power Parity (PPP) for the years 1990, 1995, 2000 and 2005. MER is the exchange rate between local and U.S. dollar currencies for a given time period established by the market. PPP is the exchange rate between a country's currency and U.S. dollars adjusted to reflect the actual cost in U.S. dollars of purchasing a standardized market basket of goods in that country using the country's currency. The original data from the G-Econ Project at Yale University is also available in tabular format and includes latitude and longitude geographic coordinates of the grid cells, area of grid cells, as well as country names, distance to coast, elevation, vegetation, population, precipitation and temperature.","The Global Gridded Geographically Based Economic Data (G-Econ), v4 (1990, 1995, 2000, 2005) dataset provides global GDP economic data based on the state of the market in each subsequent year.",Global,"ASCII, Grid, Excel, PDF, PNG",1.0 degree,111 kilometers,,"1990-01-01, 1995-01-01, 2000-01-01, 2005-01-01",,https://doi.org/10.7927/H42V2D1C,SPATIALECON - Spatial Economic Data,33-year temporal extent,Lacks recent data,,Path B,Human Dimensions,Human Dimensions,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC1419865113-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
"Global Gridded Relative Deprivation Index (GRDI), Version 1","Food Availability,Human Dimensions","The Global Gridded Relative Deprivation Index (GRDI), Version 1 (GRDIv1) data set characterizes the relative levels of multidimensional deprivation and poverty in each 30 arc-second (~1 km) pixel, where a value of 100 represents the highest level of deprivation and a value of 0 the lowest. GRDIv1 is built from sociodemographic and satellite data inputs that were spatially harmonized, indexed, and weighted into six main components to produce the final index raster. Inputs were selected from the best-available data that either continuously vary across space or have at least administrative level 1 (provincial/state) resolution, and which have global spatial coverage.","The Global Gridded Relative Deprivation Index (GRDI), Version 1 (GRDIv1) data set characterizes the relative levels of multidimensional deprivation and poverty in each 30 arc-second (~1 km) pixel, where a value of 100 represents the highest level of deprivation and a value of 0 the lowest.",Global,"GeoTIFF, PDF, PNG",1 kilometer,1 kilometer,,2010-01-01 to 2020-12-31,,https://doi.org/10.7927/3xxe-ap97,PMP - Poverty Mapping Project,,,,Path B,Food Availability,Human Dimensions,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC2552888508-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
Global High Resolution Daily Extreme Urban Heat Exposure,Extreme Heat,"The Global High Resolution Daily Extreme Urban Heat Exposure (UHE-Daily), 1983-2016 data set contains a high-resolution, longitudinal global record of geolocated urban extreme heat events and urban population exposure estimates for more than 10,000 urban settlements worldwide for 1983-2016. Urban extreme heat events and urban population exposure are identified for each urban settlement in the data record for five combined temperature-humidity thresholds: two-day or longer periods where the daily maximum Heat Index (HImax) > 40.6 °C; one-day or longer periods where HImax > 46.1 °C; and one day or longer periods where the daily maximum Wet Bulb Globe Temperature (WBGTmax) > 28 °C, 30 °C, and 32 °C. The WBGTmax thresholds follow the International Standards Organization (ISO) criteria for risk of occupational heat related heat illness, whereas the HImax thresholds follow the U.S. National Weather Services' definition for an excessive heat warning. For each criteria, across urban settlements worldwide, the data set also contains the duration, intensity, and severity of each urban extreme heat event.","The Global High Resolution Daily Extreme Urban Heat Exposure (UHE-Daily) dataset contains a record of urban extreme heat events and exposure estimates for over 10,000 urban settlements worldwide for the years 1983-2016.",Global,"Shapefile, CSV, JSON",N/A,,N/A,1983-01-01 to 2016-12-31,,https://doi.org/10.7927/fq7g-ny13,SDEI - Satellite-Derived Environmental Indicators,33-year temporal extent,Lacks recent data,,Path B,Extreme Heat,Extreme Heat,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC2175347697-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
"Global Man-made Impervious Surface (GMIS) Dataset From Landsat, v1 (2010)",Extreme Heat,"The Global Man-made Impervious Surface (GMIS) Dataset From Landsat consists of global estimates of fractional impervious cover derived from the Global Land Survey (GLS) Landsat dataset for the target year 2010. The GMIS dataset consists of two components: 1) global percent of impervious cover; and 2) per-pixel associated uncertainty for the global impervious cover. These layers are co-registered to the same spatial extent at a common 30m spatial resolution. The spatial extent covers the entire globe except Antarctica and some small islands. This dataset is one of the first global, 30m datasets of man-made impervious cover to be derived from the GLS data for 2010 and is a companion dataset to the Global Human Built-up And Settlement Extent (HBASE) dataset. The dataset is expected to have a rather broad spectrum of users, from those wishing to examine/study the fine details of urban land cover over the globe at full 30m resolution to global modelers trying to understand the climate/environmental impacts of man-made surfaces at continental to global scales. For example, the data are applicable to local modeling studies of urban impacts on the energy, water, and carbon cycles, as well as analyses at the individual country level.",The Global Man-made Impervious Surface (GMIS) Dataset From Landsat consists of global estimates of fractional impervious cover derived from the Global Land Survey (GLS) Landsat dataset for the target year 2010. These data show the extent of land cover that does not absorb water such as concrete and roads. These data may aid in urban flooding and urban heat research.,Global,"GeoTIFF, PDF, PNG, WMS",30m,30 meters,,2010-01-01 to 2010-12-31,,https://doi.org/10.7927/H4P55KKF,ULANDSAT - Global High Resolution Urban Data from Landsat,Makes landsat data more user-friendly,Lacks recent data,https://sedac.ciesin.columbia.edu/data/set/ulandsat-gmis-v1/maps,Path B,Extreme Heat,Extreme Heat,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC1517102461-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
"Global Mean Sea Level Trend from Integrated Multi-Mission Ocean Altimeters TOPEX/Poseidon, Jason-1, OSTM/Jason-2, and Jason-3 Version 5.1",Climate Change,"This dataset contains the Global Mean Sea Level (GMSL) trend generated from the Integrated Multi-Mission Ocean Altimeter Data for Climate Research Version 5.1. The GMSL trend is a 1-dimensional time series of globally averaged Sea Surface Height Anomalies (SSHA) from TOPEX/Poseidon, Jason-1, OSTM/Jason-2, and Jason-3 that covers September 1992 to present with a lag of up to 4 months. The data are reported as variations relative to a 20-year TOPEX/Jason collinear mean. Bias adjustments and cross-calibrations were applied to ensure SSHA data are consistent across the missions; Glacial Isostatic Adjustment (GIA) was also applied. The data are available as a table in ASCII format. Changes between the version 4.2 and version 5.x releases are described in detail in the user handbook.","The Global Mean Sea Level Trend from Integrated Multi-Mission Ocean Altimeters TOPEX/Poseidon, Jason-1, OSTM/Jason-2, and Jason-3 Version 5.1 dataset provides Global Mean Sea Level (GMSL) estimates.",Global,ASCII,,,Weekly - < Monthly,1992-09-01 to Present,4 months,https://dx.doi.org/10.5067/GMSLM-TJ151,MEaSUREs - Making Earth System Data Records for Use in Research Environments,Recent data available,Low latency,,Path C,Climate Change,Climate Change,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC2205556193-POCLOUD&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
Global Multihazard Proportional Economic Loss Risk Deciles,"Disasters,Climate Change,Human Dimensions","The Global Multihazard Proportional Economic Loss Risks is a 2.5 minute grid of a multihazard-based economic loss risk as a proportion of the economic productivity of the analytical unit, the grid cell. Representation of multihazard risk is not based on a multihazard index but rather on combinations of hazard risk categories, drought, seismic, and hydro. The drought category includes drought only. The seismic category consists of earthquake and volcano hazards. Cyclones, floods, and landslides are included in the hydro category. For each of the six hazards considered, a binary risk surface is constructed utilizing the three most-at-risk deciles of each hazard's global proportional economic loss risks data set (deciles 8-10). Each of the category risk surfaces are constructed by adding all the relevant hazard high-risk surfaces. These categorical risk surfaces are reclassified into binary high-risk surfaces. The combination of the category risk values forms a three digit identifier for determining those locations that are at higher-risk from multihazards. This data set is the result of collaboration among the Columbia University Center for Hazards and Risk Research (CHRR), International Bank for Reconstruction and Development/The World Bank, and Columbia University Center for International Earth Science Information Network (CIESIN).","The Global Multihazard Proportional Economic Loss Risks shows the multihazard-based economic loss risk as a proportion of economic productivity. In other words, several different hazards are combined and a proportion is created with the economic productivity of an area. These hazards include drought, earthquakes, volcanoes, cyclones, landslides, and flood risk.",Global,"ASCII, DBF, PDF, PNG",0.0417 degrees,5 kilometers,,2000-01-01 to 2000-12-31,,https://doi.org/10.7927/H4WS8R5B,NDH - Natural Disaster Hotspots,Visualization available through SEDAC Map widget,Limited temporal extent,https://sedac.ciesin.columbia.edu/data/set/ndh-multihazard-proportional-economic-loss-risk-deciles/maps,Path B,Climate Change,Human Dimensions,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC179001790-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
Global Multihazard Total Economic Loss Risk Deciles,"Disasters,Climate Change,Human Dimensions","The Global Multihazard Total Economic Loss Risk Deciles is a 2.5 minute grid of global multihazard total economic loss risks. First, for each of the considered hazards (cyclones, droughts, earthquakes, floods, landslides, and volcanoes), subnational distributions of Gross Domestic Product (GDP) are computed using a methodology developed from Sachs et al. (2003). Where applicable, the contributions of subnational units to national GDP estimates, the contribution ratio, are determined using data of varied origin. World Bank Development Indicators are substituted for GDP estimates of varied origin and the subnational GDP is estimated using the fore mentioned contribution ratios. A subnational, per capita GDP is derived and a final GDP estimate per grid cell is made based on grid cell population density. A raw, total economic loss is computed per grid cell using a regional economic loss rate derived from EM-DAT records. To more accurately reflect the confidence surrounding the economic loss estimate, the range of losses are classified into deciles, 10 classes of an approximately equal number of grid cells. A multihazard index is generated by summing the top three deciles of the individual hazards. This data set is the result of collaboration among the Columbia University Center for Hazards and Risk Research (CHRR), International Bank for Reconstruction and Development/The World Bank, and Columbia University Center for International Earth Science Information Network (CIESIN).","The Global Multihazard Proportional Economic Loss Risks shows the total economic loss risk by combining the risk of several types of hazards. These hazards include drought, earthquakes, volcanoes, cyclones, landslides, and flood risk. This dataset may aid disaster preparation and recovery research.",Global,"ASCII, DBF, PDF, PNG",0.0417 degrees,5 kilometers,,2000-01-01 to 2000-12-31,,https://doi.org/10.7927/H4S180F9,NDH - Natural Disaster Hotspots,Visualization available through SEDAC Map widget,Limited temporal extent,https://sedac.ciesin.columbia.edu/data/set/ndh-multihazard-total-economic-loss-risk-deciles/maps,Path B,Disasters,Human Dimensions,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC179001788-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
Global Nitrogen Dioxide Monitoring,"Climate Change,Health & Air Quality","NO2 column observations from the Dutch-Finnish Ozone Monitoring Instrument (OMI) and ESA/EU Copernicus Sentinel 5 Precursor TROPOspheric Monitoring Instrument (TROPOMI) are available from October, 2004 and April, 2018, respectively. OMI is a UV-Visible wavelength spectrometer on the polar-orbiting NASA Aura satellite. Aura, launched on 15 July 2004, follows a sun-synchronous orbit with an equator crossing time near 13:45, local time. TROPOMI is a similar instrument with enhanced spatial resolution and additional spectral coverage. It was launched on board the European Space Agency/European Union (ESA/EU) Copernicus Sentinel-5 Precursor satellite on October 13, 2017.",The Global Nitrogen Dioxide Monitoring dataset provides imagery of daily nitrogen dioxide from OMI. These data may aid in air quality research.,Global,,0.1 degrees,10 kilometers,Daily - < Weekly,Varies,,https://so2.gsfc.nasa.gov/no2/no2_index.html,"Aura - Earth Observing System (EOS), Aura",Images useful for Path A users,No data download,Map Viewer,Path B,Climate Change,Health & Air Quality,
"Global One-Eighth Degree Urban Land Extent Projection and Base Year Grids by SSP Scenarios, v1 (2000 – 2100)","Food Availability,Human Dimensions","The Global One-Eighth Degree Urban Land Extent Projection and Base Year Grids by SSP Scenarios, 2000-2100 consists of global SSP-consistent spatial urban land fraction data for the base year 2000 and projections at ten-year intervals for 2010-2100 at a resolution of one-eighth degree (7.5 arc-minutes). Spatial urban land projections are key inputs for the analysis of land use, energy use, and emissions, as well as for the assessment of climate change vulnerability, impacts and adaptation. This data set presents a set of global, spatially explicit urban land scenarios that are consistent with the Shared Socioeconomic Pathways (SSPs) to produce an empirically-grounded set of urban land spatial distributions over the 21st century. A data-science approach is used exploiting 15 diverse data sets, including a newly available 40-year global time series of fine-spatial-resolution remote sensing observations from the Landsat satellite series. The SSPs are developed to support future climate and global change research, the Intergovernmental Panel on Climate Change (IPCC) Sixth Assessment Report (AR6), along with Special Reports.","The Global One-Eighth Degree Urban Land Extent Projection and Base Year Grids by SSP Scenarios dataset provides global urban land projections based on the SSP (Shared Socioeconomic Pathways) data. These data may be useful in climate, socioeconomic, environmental, or other related research.",Global,"GeoTIFF, netCDF-4, PDF, PNG",7.5 Arc-Minutes,15 kilometers,,2000-01-01 to 2100-12-31,,https://doi.org/10.7927/nj0x-8y67,SSP - Shared Socioeconomic Pathways,Includes past data and projections,Projections based on original publishing date,SEDAC Map widget,Path B,Food Availability,Human Dimensions,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC2205031324-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
"Global Pesticide Grids (PEST-CHEMGRIDS), v1.01 (2015, 2020, 2025)",Health & Air Quality,"The Global Pesticide Grids (PEST-CHEMGRIDS), Version 1.01 data set contains 20 of the most-used pesticide active ingredients on 6 dominant crops and 4 aggregated crop classes at 5 arc-minute resolution (about 10 km at the equator), estimated in year 2015, and then projected to 2020 and 2025. To estimate the global application rates of specific active ingredients, spatial statistical methods were used to re-analyze the U.S. Geological Survey Pesticide National Synthesis Project (USGS/PNSP) and the Food and Agriculture Organization Corporate Statistical Database (FAOSTAT) pesticide databases, along with other public inventories including globally gridded data of soil physical properties, hydro-climatic variables, agricultural quantities, and socioeconomic indices. The application rate (APR) of each active ingredient on each crop is in kilogram per hectare per year (kg/ha-year), and the harvest area of each crop is in hectare (ha). The data set also includes 200 data quality index maps corresponding to each active ingredient on each crop, as well as maps of the 10 dominant crops and 4 aggregated crop classes. Version 1.01 includes data in GeoTIFF and netCDF formats.","The Global Pesticide Grids (PEST-CHEMGRIDS) dataset provides commonly-used pesticides crucial to assess humanand ecosystem exposure to potential toxicants for environmental modeling, assessment of agricultural chemical contamination and risk analysis, and other related research for the years 2015, 2020, and 2025.",Global,"GeoTIFF, netCDF-4, PDF, PNG, WMS",5 Arc-Minutes,10 kilometers,,"2015-01-01, 2020-01-01, 2025-01-01",,https://doi.org/10.7927/weq9-pv30,FERMANV1 - Global Agricultural Inputs,Includes past and recent data and data projections,No data prior to 2015,SEDAC Map widget,Path B,Health & Air Quality,Health & Air Quality,https://sciencediscoveryengine.nasa.gov/app/nasa-sba-smd/#/preview?id=%2FSDE%2FCMR_API%2F%7CC1947982144-SEDAC&query=%7B%22name%22%3A%22query-smd-primary%22%2C%22scope%22%3A%22All%22%2C%22text%22%3A%22%22%7D
Global Precipitation Measurement Data Directory,Urban Flooding,"Precipitation data from the GPM and TRMM missions are made available free to the public in a variety of formats from several sources at NASA Goddard Space Flight Center. This section outlines the different types of data available, the levels of processing, the sources to download the data, and some helpful tips for utilizing precipitation data in your research.",The Global Precipitation Measurement Data Directory includes various datasets related to precipitation and atmospheric monitoring.,Global,Varies,Varies,Varies,Varies,Varies,Varies,https://gpm.nasa.gov/data/directory,GPM - Global Precipitation Measurement,Multiple datasets available,,"visualization avaible, varies per dataset",Path B,Urban Flooding,Urban Flooding,
